SYMBOL,SYMBOL P/E,ADJUSTED P/E
THERMAX,69.74,69.74
WHEELS,13.91,13.91
ZODIACLOTH,,
RIIL,123.32,123.32
PREMIERPOL,24.73,24.73
RAYMOND,21.28,20.88
RSWM,,
SHREDIGCEM,26.99,26.99
SESHAPAPER,13.12,13.12
SMLISUZU,19.24,19.24
SUPERSPIN,,
SUNDRMFAST,36.03,36.03
FACT,,508.30
EXIDEIND,38.36,38.36
EUROTEXIND,,
ELECON,26.95,26.95
CRISIL,44.76,44.76
LMW,142.34,142.34
ORIENTPPR,,
PEL,46.11,
NELCO,103.85,103.85
MASTEK,18.09,18.61
MAHSCOOTER,72.64,75.70
LUMAXIND,41.41,41.41
TRENT,102.10,143.35
KECL,66.82,284.08
CUMMINSIND,47.02,47.02
KCP,9.63,8.73
JAYBARMARU,29.71,29.71
JBCHEPHARM,42.09,42.09
INFY,24.42,24.42
INDIAGLYCO,19.63,19.63
IONEXCHANG,32.44,32.44
IFBIND,40.40,40.40
IGPL,13.49,13.49
HIMATSEIDE,21.07,21.07
GNFC,14.40,14.40
GFLLIMITED,,
BPCL,9.34,9.15
BHARATFORG,66.05,59.57
BASF,31.26,31.78
FORCEMOT,22.43,22.43
ATUL,41.28,41.28
ARVIND,27.32,27.32
ACC,13.97,15.37
TATAMOTORS,8.21,8.20
SCI,8.75,8.75
MRPL,30.64,30.38
LINDEINDIA,124.19,124.19
HINDPETRO,12.11,12.11
ESCORTS,31.59,31.59
RELINFRA,37.23,
BAJAJHLDNG,92.05,92.05
ASHOKLEY,20.26,20.54
ZUARIIND,,499.86
VOLTAS,55.91,55.91
TITAN,83.77,83.77
TATASTEEL,82.33,68.23
SUNDARMFIN,32.16,30.94
SPIC,19.62,13.24
VEDL,10.12,11.25
SBIN,8.54,8.54
RELIANCE,21.88,21.88
PFIZER,30.41,30.41
NOCIL,24.44,24.44
BOSCHLTD,40.00,40.02
DRREDDY,18.11,18.11
BATAINDIA,45.37,63.07
DEEPAKFERT,16.21,16.21
CHAMBLFERT,16.36,16.36
CARBORUNIV,52.14,61.65
MAHSEAMLES,12.18,12.18
HINDOILEXP,14.01,17.26
DICIND,31.27,32.22
COROMANDEL,34.55,34.55
BALMLAWRIE,15.81,15.81
WILLAMAGOR,,
VINDHYATEL,15.53,15.53
MOTOGENFIN,43.35,43.35
MARALOVER,,
ASIANPAINT,53.99,52.35
RAMCOCEM,54.59,112.76
INDIACEM,,
PGHL,38.05,36.67
ABREL,124.41,124.41
BEML,44.25,44.25
ADORWELD,27.23,24.64
CENTENKA,14.74,14.74
TATACHEM,,41.72
TORNTPHARM,58.98,58.98
VTL,14.50,14.50
ATFL,531.67,475.86
FEDERALBNK,11.77,11.77
EPL,24.94,23.87
VLSFINANCE,4.49,4.49
VIPIND,,
SUPREMEIND,49.15,49.15
SRF,76.13,76.13
BIRLACABLE,88.13,88.13
BALRAMCHIN,28.67,28.67
ANSALAPI,,
AEGISLOG,38.88,38.88
WEIZMANIND,21.27,21.27
UNITECH,,
UNICHEMLAB,,50.30
BBOX,33.52,25.89
HONAUT,54.28,54.28
JTEKTINDIA,38.94,39.19
SAURASHCEM,169.82,169.82
RANEHOLDIN,8.89,83.93
PRECOT,12.67,15.75
TATAELXSI,42.30,42.30
SUNPHARMA,36.86,35.74
KOHINOOR,,
OILCOUNTUB,,
SHREYANIND,5.09,5.09
SHALPAINTS,,
SANDESH,5.95,5.97
HCC,17.79,
BAJAJHIND,,
ASHIMASYN,3.84,3.84
APOLLOHOSP,72.49,72.49
ARE&M,19.07,20.62
ADANIENT,68.91,65.51
IVP,12.67,12.67
BALKRISIND,27.97,27.97
TIRUMALCHM,,
INDBANK,15.18,15.18
GINNIFILA,,133.86
EICHERMOT,38.59,38.59
RAJSREESUG,11.72,11.72
GVT&D,83.61,83.61
NEULANDLAB,50.98,63.91
ONGC,7.54,7.30
ITI,,
ZENSARTECH,25.14,25.14
TIL,9.13,191.72
TAINWALCHM,54.56,54.56
BERGEPAINT,53.85,53.85
BANARISUG,52.14,52.14
JINDALPOLY,11.42,19.34
ANIKINDS,,
KPIL,33.52,33.52
JYOTISTRUC,52.88,52.88
IGARASHI,61.39,61.39
BSL,17.27,17.27
BLUEDART,56.21,56.21
NKIND,879.92,879.92
JAYNECOIND,239.89,100.11
MUNJALSHOW,15.86,15.86
APCOTEXIND,31.93,31.93
SOTL,23.88,23.88
HSCL,41.51,41.51
RCF,26.38,28.05
RANASUG,9.38,9.38
KARURVYSYA,9.01,9.01
DECCANCE,435.83,76.41
ARENTERP,23.93,23.93
TECILCHEM,,
WSI,915.06,199.12
UFLEX,,7.92
TATAPOWER,34.55,33.32
ADVANIHOTR,21.38,21.38
THOMASCOOK,26.02,25.68
SUNFLAG,27.00,27.00
SUBROS,28.67,28.67
SPMLINFRA,35.72,37.56
SIMPLEXINF,13.06,13.06
SIEMENS,70.54,70.54
BHARATRAS,30.07,30.08
WIPRO,22.68,22.68
VSTIND,13.97,18.70
JUBLPHARMA,22.38,18.31
UNIVCABLES,36.56,36.56
UCAL,,
TATACOMM,40.40,42.14
TOKYOPLAST,145.33,145.33
SOMANYCERA,24.31,24.75
MURUDCERA,27.05,27.05
IFCI,48.46,48.96
HLVLTD,32.23,35.41
SANOFI,37.12,34.79
M&M,27.97,27.97
LIBERTSHOE,44.89,33.08
KREBSBIO,,
KAKATCEM,,
KAJARIACER,38.54,38.54
KABRAEXTRU,28.87,28.87
HEIDELBERG,42.58,42.58
MODTHREAD,24.44,24.44
MODIRUBBER,,
MIRCELECTR,,
MANGLMCEM,47.06,47.06
PRSMJOHNSN,,
PREMIER,,
POLYPLEX,9.63,9.63
PIDILITIND,72.62,70.82
PCBL,35.49,35.46
3PLAND,35.80,35.80
OSWALAGRO,21.87,21.86
EIHAHOTELS,25.99,24.99
HONDAPOWER,34.87,37.23
JINDALSAW,9.32,9.32
SAIL,27.74,17.88
RUBYMILLS,15.33,15.33
STYRENIX,20.97,20.97
ABB,61.20,61.20
ABAN,,
IDBI,11.79,11.79
GRAPHITE,22.74,22.74
CANFINHOME,10.88,10.88
BRITANNIA,53.90,53.45
BBL,25.01,25.01
ELECTCAST,8.04,8.04
DHAMPURSUG,14.54,14.54
DCMSHRIRAM,30.38,30.38
DABUR,51.03,51.03
COSMOFIRST,13.70,13.70
CIPLA,24.41,24.41
HEROMOTOCO,16.28,16.28
HDFCBANK,19.64,19.36
HARRMALAYA,2648.71,49.12
GMBREW,9.22,9.22
GIPCL,13.06,13.06
ITC,25.38,25.37
INDIANHUME,19.03,19.03
HINDCOMPOS,17.82,17.82
IOC,20.13,25.06
WALCHANNAG,,
OSWALGREEN,75.24,75.24
HUHTAMAKI,16.01,23.83
RICOAUTO,28.29,27.80
KAMATHOTEL,24.58,26.04
IFBAGRO,23.73,23.73
BANCOINDIA,16.43,16.43
DELTAMAGNT,,
MANINDS,15.62,15.62
APOLLOTYRE,21.27,20.13
SIYSIL,15.16,15.16
SHANTIGEAR,36.61,36.61
PRECWIRE,29.73,29.73
ONWARDTEC,27.19,27.19
NILKAMAL,23.99,23.99
NCC,15.47,15.10
ICIL,16.23,16.23
SEAMECLTD,25.14,27.40
ELGIEQUIP,49.51,49.51
AUROPHARMA,19.83,19.46
BBTC,6.23,6.07
EIHOTEL,32.92,33.23
KANORICHEM,,
LICHSGFIN,6.10,6.10
GICHSGFIN,5.14,5.14
BEPL,15.14,15.14
RAIN,,
BANARBEADS,26.87,26.87
MOREPENLAB,21.49,21.49
WSTCSTPAPR,6.69,6.69
21STCENMGM,1.74,1.74
TNTELE,,
VENKEYS,17.41,17.41
GHCL,9.82,9.82
S&SPOWER,,
PRAJIND,38.49,41.92
HIL,,60.72
EVERESTIND,,
BPL,19.71,19.71
TRANSWORLD,14.40,14.40
KEEPLEARN,104.27,104.27
PGHH,63.10,63.10
VESUVIUS,35.29,35.29
TFCILTD,13.77,13.77
BOMDYEING,5.08,37.78
GTL,1.17,18.52
NAVNETEDUL,3.95,14.78
GUJALKALI,,
AGI,16.73,16.73
GLAXO,55.88,56.22
TATACONSUM,77.40,68.18
ZEEL,19.34,16.18
CHOLAFIN,31.75,31.75
INDHOTEL,65.00,75.80
FMGOETZE,12.25,12.25
KOTAKBANK,19.37,22.23
LYKALABS,100.11,99.34
ORIENTHOT,65.26,65.26
JAYSREETEA,8.85,41.60
GILLETTE,54.74,54.74
HMT,,
