Symbol ,Series ,LTP ,%chng ,Mkt Cap (₹ Crores),Volume (Lakhs),Value (₹ Crores)
HAL,EQ,4225.8,1.16,282610.94,66.32,2867.88
BSE,EQ,5468,-0.22,74023.79,46.49,2552.29
HDFCBANK,EQ,1769.9,-3.19,1354366.71,142.56,2539.96
INFY,EQ,1530.2,-2.58,635532.37,126.81,1939.4
HBLENGINE,EQ,515.9,9.19,14300.49,368.07,1911.85
ICICIBANK,EQ,1318.15,-2.24,931394.21,142.88,1895.76
IDEA,EQ,8.17,20.15,58328.11,23006.7,1856.64
RELIANCE,EQ,1254,-1.65,1696959.56,121,1525.41
ZOMATO,EQ,203.35,0.82,196239.88,633.69,1279.3
TRENT,EQ,5568.1,4.56,197938.97,22.61,1255.67
BHARTIARTL,EQ,1723.6,-0.57,982814.87,67.73,1173.38
BAJFINANCE,EQ,8719.35,-2.53,540493.89,11.83,1036.87
BEL,EQ,290.9,-3.47,212641.47,331.71,989.04
INDUSINDBK,EQ,682.7,5.06,53186.05,140.2,952.33
TCS,EQ,3556.45,-1.38,1286754.74,26.18,929.04
M&M,EQ,2640,-0.97,328291.61,33,878.74
KOTAKBANK,EQ,2144.3,-1.24,426334.66,37.51,806.4
INDUSTOWER,EQ,352.25,5.37,92929.28,210.49,749.08
AXISBANK,EQ,1085.2,-1.52,336099.49,66.38,719.74
SUNPHARMA,EQ,1698.3,-2.1,407479.06,41.42,705.6
LT,EQ,3438.3,-1.55,472826.43,19.35,667.85
NTPC,EQ,352.95,-1.3,342243.83,187.36,664.22
TATAMOTORS,EQ,672,-0.36,247386.64,95.95,646.29
HCLTECH,EQ,1534.5,-3.64,416411.91,41.27,639.35
ITC,EQ,406.6,-0.77,508824.11,152.06,622.36
BPCL,EQ,285.7,2.59,123951.1,207.8,587.79
MARUTI,EQ,11455.25,-0.58,360156.01,4.98,568.78
HINDUNILVR,EQ,2237,-0.97,525603.57,24.96,559.58
SBIN,EQ,771.25,-0.03,688311.32,70.11,541.37
VOLTAS,EQ,1348.4,-7.56,44616.5,39.09,536.95
MAZDOCK,EQ,2583,-2.3,104193.05,20.4,534.51
SHRIRAMFIN,EQ,637.85,-2.77,119940.29,76.01,487.98
DRREDDY,EQ,1150,0.51,95962.37,41.58,479.47
TEJASNET,EQ,791.7,4.11,13959.45,57.62,459.47
TATASTEEL,EQ,153.25,-0.64,191310.05,291.42,447.07
JIOFIN,EQ,230.94,1.51,146719.45,187.82,430.07
IDFCFIRSTB,EQ,57.2,4.08,41880.21,743.64,423.5
BAJAJFINSV,EQ,1941.9,-3.26,310055.81,21.26,416.2
DIXON,EQ,12924.8,-1.93,77651.2,3.05,400.39
INDIGO,EQ,5036,-1.55,194602.81,7.94,399.83
PAYTM,EQ,801.35,2.28,51106.28,47.97,381.06
CDSL,EQ,1198,-1.81,25038.2,30.6,369.31
ITCHOTELS,EQ,210,6.32,43704.59,176.77,365.25
LIQUIDBEES,EQ,1000.01,0,11347.51,36.08,360.76
BHEL,EQ,212.21,-1.95,73892.87,168.23,356.94
COFORGE,EQ,7770,-4.18,51964.87,4.44,350.55
HINDALCO,EQ,663.5,-2.78,149103.48,51.32,343.25
POWERGRID,EQ,289.1,-0.43,268880.46,116.04,338.17
NIFTYBEES,EQ,259.68,-1.34,42555.49,126.3,329.18
TITAN,EQ,2988.45,-2.45,265310.45,10.69,321.52
HDFCLIFE,EQ,693,1.06,149202.08,46.2,320.18
ADANIGREEN,EQ,923,-2.7,146206.2,33.94,316.56
GOLDBEES,EQ,76.74,3.48,20073,407.2,310.37
GAIL,EQ,186.15,1.7,122395.48,163.74,302.61
EICHERMOT,EQ,5301.15,-0.87,145338.49,5.62,300.97
ULTRACEMCO,EQ,11386.8,-1.07,335543.27,2.63,300.16
MAHSEAMLES,EQ,715.55,4.8,9588.32,39.63,291.25
ONGC,EQ,248.29,0.78,312355.75,112.59,280.26
VBL,EQ,539.45,-0.04,182434.74,51.44,276.95
BRITANNIA,EQ,4905.7,-0.63,118162.76,5.58,273.95
MCX,EQ,5230,-1.54,26672.15,4.97,264.18
AMBER,EQ,6865,-4.8,23219.84,3.77,261.59
PFC,EQ,405.2,-2.18,133720.12,62.99,256.68
HUDCO,EQ,206.53,3.55,41345.24,119.2,244.12
CGCL,EQ,172.1,1.11,14200.25,141.34,242.77
PERSISTENT,EQ,5237.95,-5,81633.45,4.54,240.04
CHOLAFIN,EQ,1469,-3.35,123534.22,15.86,235.42
RECLTD,EQ,417.25,-2.78,109871.27,55.86,235.24
DLF,EQ,662.5,-2.65,163989.62,35.28,234.32
NESTLEIND,EQ,2234.9,-0.7,215479.48,10.2,229.87
SUZLON,EQ,55.84,-1.45,76212.92,408.1,228.62
ASIANPAINT,EQ,2316.7,-1.02,222217.35,9.71,225.84
BAJAJ-AUTO,EQ,7975,1.22,222707.94,2.84,225.71
KALYANKJIL,EQ,459,-1.77,47342.88,48.14,221.52
TECHM,EQ,1396.5,-1.53,136716.47,15.78,220.27
IRFC,EQ,124.75,0.27,163029.61,177.63,220.21
LUPIN,EQ,1960,-3.35,89486.75,11.12,219.16
WIPRO,EQ,262.25,0,274631.77,83.89,219.13
TATAELXSI,EQ,5068,-2.81,31565.59,4.24,216.56
RHIM,EQ,528,4.08,10903.28,40.33,216.14
IREDA,EQ,161,0.26,43273.01,133.01,213.27
APOLLOHOSP,EQ,6632.25,0.24,95361.58,3.2,211.62
ABB,EQ,5388.75,-2.84,114192.13,3.8,206.31
VEDL,EQ,457.25,-1.33,178802.49,43.86,201.49
MANAPPURAM,EQ,232.07,-0.29,19643.21,85.84,199.2
ANGELONE,EQ,2321.95,0.38,20962.27,8.49,198.59
NMDC,EQ,69.71,1.19,61287.76,280.98,195.2
CGPOWER,EQ,612.9,-4.01,93704.41,31.12,194.11
DIVISLAB,EQ,5545,-3.99,147202.33,3.41,191.42
HEROMOTOCO,EQ,3767,1.18,75344.08,5.06,191.11
SWIGGY,EQ,331.05,0.26,75693.95,57.32,190.73
JSWSTEEL,EQ,1060,-0.3,259218.12,17.76,188.21
ADANIPORTS,EQ,1176.5,-0.55,254140.35,15.85,187.49
INDHOTEL,EQ,807.7,2.56,114970.62,23.52,187.06
SAIL,EQ,116.7,1.32,48203.23,159.59,184.72
HINDPETRO,EQ,361.65,0.36,76952.7,51.12,183.18
NAUKRI,EQ,6787.6,-5.48,87956.52,2.61,179.72
TTML,EQ,59.9,6.41,11710.02,297.38,178.79
JSWENERGY,EQ,523.6,-2.66,91513.16,33.72,178.01
OLAELEC,EQ,52.75,-0.57,23267.13,332.87,177.52
RVNL,EQ,350.6,-0.36,73100.8,50.49,176.88
SRF,EQ,2880,-2.01,85370.35,6.03,174.07
SIEMENS,EQ,5229,-0.88,186215.41,3.3,173.55
ASHOKLEY,EQ,209.1,2.39,61402.79,83.71,173.17
COALINDIA,EQ,398,-0.05,245276.59,43.33,172.92
UNIONBANK,EQ,125,-0.94,95420.07,135.44,168.88
IOC,EQ,131.45,2.94,185623.68,127.4,165.82
ADANIENSOL,EQ,867.8,-0.48,104247.31,19,165.5
KAYNES,EQ,4771,0.5,30539.54,3.43,164.6
POLICYBZR,EQ,1515.05,-4.7,69579.77,10.64,163.67
DMART,EQ,4016,-1.65,261334.4,4.01,163.46
COROMANDEL,EQ,2054.95,3.68,60546.29,7.95,160.31
GODREJPROP,EQ,2045.9,-3.93,61619.41,7.71,159
JBCHEPHARM,EQ,1557.95,-4.02,24253.73,10.24,158.08
CIPLA,EQ,1447,0.33,116862.2,10.8,156.48
YESBANK,EQ,17.36,2.84,54430.74,905.34,155.72
ABREL,EQ,1943.95,-0.81,21713.08,7.86,155.3
RADICO,EQ,2347.55,-3.35,31411.98,6.55,155
JINDALSTEL,EQ,903,-1.02,92113.96,16.97,153.29
BDL,EQ,1246.45,-2.73,45690.18,11.97,152.58
SWSOLAR,EQ,267.2,6.73,6238.97,58.3,151.29
VADILALIND,EQ,5205,13.34,3741.27,2.97,151.12
FORTIS,EQ,683.2,-2.17,51578.74,21.36,148.94
LIQUIDCASE,EQ,107.83,0,3937.15,137.01,147.74
RPOWER,EQ,41.95,-2.4,16851.19,346.29,146.83
SBILIFE,EQ,1542.3,-0.36,154559.29,9.38,145.31
POLYCAB,EQ,5097.1,-0.99,76673.58,2.82,143.82
MAXHEALTH,EQ,1084.75,-1.11,105453.11,13.09,143.44
NHPC,EQ,82.05,-0.18,82419.51,174.13,143.36
UCOBANK,EQ,31.2,-12.61,39123.42,438.56,141
LODHA,EQ,1156,-3.33,115318.96,11.91,139.14
NATIONALUM,EQ,175.11,-0.24,32161.26,77.69,136.76
NCC,EQ,213.16,1.76,13383.18,63.95,135.72
BANKINDIA,EQ,110.5,3.16,50306.98,120.89,132.8
CANBK,EQ,90.15,1.29,81771.92,145.97,130.99
MOTHERSON,EQ,131.2,0.18,92316.19,99.91,130.73
BANKBARODA,EQ,229.48,0.42,118672.42,56.86,130.29
PVRINOX,EQ,954.5,4.6,9373.19,13.52,129.16
BOSCHLTD,EQ,27852,-1.79,82145.69,0.46,129.02
AUROPHARMA,EQ,1127,-2.89,65456.34,11.21,128.97
PNB,EQ,96.49,0.37,110895.41,134.03,128.95
ZYDUSLIFE,EQ,877.5,-1,88297.03,14.54,128.47
TATAPOWER,EQ,375,-0.11,119825.23,34.14,128.3
APLAPOLLO,EQ,1527,0.11,42378,8.23,124.58
HDFCAMC,EQ,3980,-0.84,85089.65,3.11,123.89
MUTHOOTFIN,EQ,2328,-2.3,93460.79,5.25,123.69
BLUESTARCO,EQ,2079.45,-2.67,42756.57,5.86,122.53
MANKIND,EQ,2465.1,1.66,101704.73,5.01,122.41
TRANSRAILL,EQ,486.95,5.28,6537.6,24.8,119.81
ADANIPOWER,EQ,505.7,-0.71,195045.4,23.59,119.64
CAMS,EQ,3673.9,-1.33,18160.03,3.21,118.77
AEGISLOG,EQ,779,-3.28,27342.9,14.92,118.32
AUBANK,EQ,531,-0.67,39534.57,22.1,118
FEDERALBNK,EQ,192.5,-0.12,47293.53,60.99,117.65
ADANIENT,EQ,2340,1.04,270078.29,5.02,117.21
COCHINSHIP,EQ,1397,-0.77,36752.38,8.33,116.86
LIQUIDADD,EQ,1065.25,0,2686.82,10.91,116.17
PARADEEP,EQ,110.76,7.1,9029.27,106.76,115.21
BEML,EQ,3170,-1.54,13201.31,3.61,114.8
KEI,EQ,2827,-2.28,27012.72,4,113.65
KFINTECH,EQ,1035,0.52,17809.82,11.1,113.06
TVSMOTOR,EQ,2449.45,1.22,116370.21,4.63,112.72
TATATECH,EQ,686.5,0.97,27849.14,16.19,110.63
HAVELLS,EQ,1500,-1.89,94041.26,7.24,108.85
REDINGTON,EQ,231.5,-4.71,18098.08,46.78,108.62
IRCTC,EQ,725.45,-0.28,58036,14.99,108.61
OFSS,EQ,7605,-3.13,66059.39,1.42,108.48
GMRAIRPORT,EQ,77.29,2.06,81610.33,140.07,107.91
CYIENT,EQ,1230,-2.76,13657.79,8.56,107.61
HINDCOPPER,EQ,221.5,0.32,21419.58,48.71,107.3
PGEL,EQ,902.8,-1.51,25557.7,11.58,106.64
BHARATFORG,EQ,1149.95,-1.64,54977.8,9,104.5
TATACONSUM,EQ,992.4,-0.95,98197.4,10.46,104.47
GODFRYPHLP,EQ,7107.65,5,36955.46,1.45,102.37
LTIM,EQ,4410,-1.81,130661.92,2.31,102.14
GRSE,EQ,1697,0.67,19439.47,6.06,102.06
PIIND,EQ,3454,0.75,52403.44,2.9,100.28
LALPATHLAB,EQ,2415,-2.57,20187.4,4.17,100.12
DABUR,EQ,497.6,-1.76,88190.56,19.75,99.04
WAAREEENER,EQ,2380.8,-0.99,68396.38,4.12,98.43
INOXWIND,EQ,157.8,-3.21,20573.87,60.37,96.38
ICICIGI,EQ,1796,0.18,89032.48,5.36,95.98
ATULAUTO,EQ,493.5,11.74,1369.53,19.16,95.63
KEC,EQ,790,0.93,21029.8,12.18,95.62
KPITTECH,EQ,1270.5,-2.83,34829.97,7.46,95.45
LIQUIDIETF,EQ,999.99,0,2115.08,9.51,95.07
MPHASIS,EQ,2445,-2.21,46473.79,3.79,93.14
SILVERBEES,EQ,96.7,-0.92,6128.01,95.62,92.69
OBEROIRLTY,EQ,1572.95,-3.94,57192.81,5.86,92.43
TITAGARH,EQ,803.9,0.96,10826.42,11.51,92.19
ATGL,EQ,593.7,-1.48,65295.72,15.51,91.93
UPL,EQ,634.5,-0.28,47628.17,14.51,91.78
ASTERDM,EQ,477.75,-1.19,23864.24,19.01,91.41
HFCL,EQ,80.84,2.2,11662.57,113.13,91.23
GALAXYSURF,EQ,2092.3,2.15,7418.2,4.34,90.79
HYUNDAI,EQ,1703.1,-0.27,138383.87,5.27,90.21
WOCKPHARMA,EQ,1454,2.08,23625.4,6.16,89.43
POWERINDIA,EQ,12320,-2.64,54913.15,0.72,89.3
ZEEL,EQ,101.65,3.37,9763.68,88.47,88.81
BANDHANBNK,EQ,149.55,2.24,24092.08,59.41,88.55
PATANJALI,EQ,1803.4,-0.28,65315.09,4.84,86.86
NYKAA,EQ,179.4,0.18,51280.62,48.14,86.52
PRESTIGE,EQ,1139,-3.83,49060.17,7.53,86.46
SBICARD,EQ,860,-2.39,81816.7,9.85,85.01
SOLARINDS,EQ,11095,-1.33,100398.72,0.75,84.55
GRASIM,EQ,2612.05,0.03,177744.55,3.18,83.11
BAJAJHFL,EQ,121.84,-1.18,101470.14,67.68,82.86
QUADFUTURE,EQ,530.3,0.93,2121.2,15.46,82.1
RAILTEL,EQ,302,-0.18,9692.34,27.06,82.08
LAURUSLABS,EQ,598.5,-2.43,32274.26,13.49,81.6
IGL,EQ,201.95,-0.58,28273.03,39.97,80.77
LEMONTREE,EQ,136.2,6.07,10790.4,58.87,79.46
CHAMBLFERT,EQ,621.9,-0.58,24916.57,12.74,79.39
DELHIVERY,EQ,261,2.31,19459.68,30.36,79.08
PSB,EQ,34.86,-20.01,24735.21,221.75,78.92
SAMMAANCAP,EQ,111.92,4.5,9270.73,71.4,78.88
MARICO,EQ,650,-0.25,84207.34,12.03,78.43
COLPAL,EQ,2350,-1.67,63916.62,3.31,78.35
DATAPATTNS,EQ,1698.8,0.52,9510.56,4.61,78.09
JUBLFOOD,EQ,662.35,-0.3,43704.85,11.85,77.88
FSL,EQ,332.8,-2.19,23195.85,22.93,77.23
TRITURBINE,EQ,537.65,-4.6,17090.65,13.84,75.32
NAVA,EQ,528.15,1.81,15326.98,14.06,74.67
JWL,EQ,372.1,0.77,15795.57,20.19,74.64
CASTROLIND,EQ,207,1.99,20474.83,35.96,74.3
LOWVOLIETF,EQ,20.26,-1.36,3416.09,364.21,73.64
OIL,EQ,385.7,-0.27,62738.26,18.93,73.55
IEX,EQ,176.8,0.59,15765.13,41.61,73.4
GODREJCP,EQ,1146.8,-1.07,117318.55,6.38,73.32
BLS,EQ,393,-1.42,16181.42,18.53,73.16
EXIDEIND,EQ,365.65,1.44,31080.25,20.06,73.13
APOLLO,EQ,119.7,-2.46,3668.68,59.18,72.24
ZENSARTECH,EQ,690,-1.55,15670.55,10.44,71.8
POONAWALLA,EQ,348.35,-0.6,27102.13,20.58,71.68
SCI,EQ,171.1,3.52,7969.82,42.43,71.62
