"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover ₹  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"ADANIGREEN","EQ","03-Mar-2025","774.40","775.00","808.80","758.00","808.00","804.10","786.54","57,20,645","4,49,95,23,855.75","1,74,434","14,67,005","25.64"
"ADANIGREEN","EQ","04-Mar-2025","804.10","783.20","796.65","765.60","768.90","768.55","779.02","77,26,332","6,01,89,34,274.50","1,48,177","32,86,670","42.54"
"ADANIGREEN","EQ","05-Mar-2025","768.55","769.00","857.90","769.00","849.95","848.70","824.28","1,79,02,240","14,75,64,52,775.30","2,87,840","42,06,579","23.50"
"ADANIGREEN","EQ","06-Mar-2025","848.70","868.80","872.45","836.00","843.20","845.95","850.96","1,01,66,566","8,65,13,90,358.15","1,81,600","29,79,246","29.30"
"ADANIGREEN","EQ","07-Mar-2025","845.95","840.00","847.30","823.15","841.90","837.20","834.56","60,78,435","5,07,28,45,493.05","1,16,888","23,59,028","38.81"
"ADANIGREEN","EQ","10-Mar-2025","837.20","840.90","871.00","823.25","825.00","826.05","844.17","65,95,111","5,56,74,15,549.50","1,29,753","19,96,238","30.27"
"ADANIGREEN","EQ","11-Mar-2025","826.05","819.25","834.35","810.60","833.25","824.20","821.32","34,95,317","2,87,07,77,180.80","75,002","10,53,532","30.14"
"ADANIGREEN","EQ","12-Mar-2025","824.20","834.40","858.00","806.35","854.90","853.45","834.59","48,26,264","4,02,79,45,406.35","88,597","14,51,892","30.08"
"ADANIGREEN","EQ","13-Mar-2025","853.45","874.00","896.85","858.00","871.90","873.65","880.11","1,17,79,180","10,36,69,22,595.90","2,14,029","15,57,567","13.22"
"ADANIGREEN","EQ","17-Mar-2025","873.65","873.65","908.45","868.85","896.00","896.45","895.06","59,03,492","5,28,39,95,006.80","1,30,474","10,46,912","17.73"
"ADANIGREEN","EQ","18-Mar-2025","896.45","904.70","911.90","889.10","901.00","900.90","901.65","42,22,109","3,80,68,67,447.15","92,532","7,79,559","18.46"
"ADANIGREEN","EQ","19-Mar-2025","900.90","904.05","918.75","901.40","908.70","911.20","912.49","29,80,425","2,71,96,04,014.05","63,758","5,97,660","20.05"
"ADANIGREEN","EQ","20-Mar-2025","911.20","920.30","927.95","902.05","921.60","923.40","915.92","32,10,117","2,94,02,00,173.90","68,499","10,59,320","33.00"
"ADANIGREEN","EQ","21-Mar-2025","923.40","925.00","983.35","920.55","957.00","954.25","957.76","81,47,557","7,80,34,13,714.15","1,69,547","14,07,287","17.27"
"ADANIGREEN","EQ","24-Mar-2025","954.25","972.00","981.00","949.05","952.00","952.90","961.24","36,32,791","3,49,19,71,910.15","82,594","8,93,002","24.58"
"ADANIGREEN","EQ","25-Mar-2025","952.90","959.00","966.00","916.00","918.00","923.40","941.97","35,04,686","3,30,13,09,638.55","86,827","7,85,087","22.40"
"ADANIGREEN","EQ","26-Mar-2025","923.40","921.95","942.00","910.00","912.00","912.10","923.95","31,94,761","2,95,18,12,953.85","68,042","10,19,296","31.91"
"ADANIGREEN","EQ","27-Mar-2025","912.10","910.00","966.60","905.20","958.00","959.90","941.65","59,18,219","5,57,28,64,238.75","1,14,942","17,22,198","29.10"
"ADANIGREEN","EQ","28-Mar-2025","959.90","967.85","976.45","942.05","948.00","948.65","959.80","40,83,088","3,91,89,31,528.25","90,367","7,87,418","19.28"
"ADANIGREEN","EQ","01-Apr-2025","948.65","948.00","962.00","916.65","923.00","919.15","932.82","33,93,666","3,16,56,67,424.40","75,539","10,56,794","31.14"
"BAJAJELEC","EQ","03-Mar-2025","603.35","605.00","612.90","569.55","592.00","591.25","582.38","63,598","3,70,38,114.30","6,023","17,975","28.26"
"BAJAJELEC","EQ","04-Mar-2025","591.25","591.25","605.85","580.50","596.00","590.60","594.90","40,685","2,42,03,518.20","4,039","13,461","33.09"
"BAJAJELEC","EQ","05-Mar-2025","590.60","589.05","612.00","587.75","611.10","610.05","604.88","41,153","2,48,92,425.20","3,300","20,540","49.91"
"BAJAJELEC","EQ","06-Mar-2025","610.05","612.35","620.00","599.75","611.00","610.30","608.48","51,338","3,12,38,395.55","5,123","23,998","46.75"
"BAJAJELEC","EQ","07-Mar-2025","610.30","610.30","624.30","603.50","607.00","606.65","613.35","55,895","3,42,83,422.35","4,432","25,695","45.97"
"BAJAJELEC","EQ","10-Mar-2025","606.65","606.00","610.45","597.05","608.30","607.50","605.25","41,261","2,49,73,311.10","3,220","23,590","57.17"
"BAJAJELEC","EQ","11-Mar-2025","607.50","602.00","605.85","581.15","583.00","584.30","589.60","71,220","4,19,91,295.55","4,794","37,266","52.33"
"BAJAJELEC","EQ","12-Mar-2025","584.30","587.40","595.05","574.50","579.90","576.40","581.38","54,279","3,15,56,513.50","2,929","23,278","42.89"
"BAJAJELEC","EQ","13-Mar-2025","576.40","579.85","579.85","561.45","566.05","565.85","570.54","41,453","2,36,50,746.25","4,854","14,579","35.17"
"BAJAJELEC","EQ","17-Mar-2025","565.85","570.30","573.85","538.15","544.00","541.30","551.05","83,686","4,61,15,272.25","7,310","47,121","56.31"
"BAJAJELEC","EQ","18-Mar-2025","541.30","543.90","572.00","540.70","564.25","566.90","560.01","67,349","3,77,16,338.00","4,509","24,905","36.98"
"BAJAJELEC","EQ","19-Mar-2025","566.90","567.00","590.00","567.00","575.00","577.90","578.65","1,26,466","7,31,79,275.45","8,671","47,016","37.18"
"BAJAJELEC","EQ","20-Mar-2025","577.90","583.70","592.55","576.00","586.00","582.10","581.76","58,276","3,39,02,479.75","8,202","22,948","39.38"
"BAJAJELEC","EQ","21-Mar-2025","582.10","582.10","603.50","577.50","584.90","597.20","592.12","66,751","3,95,24,375.55","7,026","34,747","52.05"
"BAJAJELEC","EQ","24-Mar-2025","597.20","599.00","616.15","597.20","607.15","609.50","609.82","72,420","4,41,63,127.65","9,801","33,994","46.94"
"BAJAJELEC","EQ","25-Mar-2025","609.50","617.00","619.40","585.00","589.75","586.80","592.87","89,632","5,31,40,519.30","12,152","45,063","50.28"
"BAJAJELEC","EQ","26-Mar-2025","586.80","589.30","592.40","576.00","577.85","580.10","582.95","34,964","2,03,82,090.45","4,486","14,846","42.46"
