"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover ₹  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"ADANIGREEN","EQ","25-Mar-2025","952.90","959.00","966.00","916.00","918.00","923.40","941.97","35,04,686","3,30,13,09,638.55","86,827","7,85,087","22.40"
"ADANIGREEN","EQ","26-Mar-2025","923.40","921.95","942.00","910.00","912.00","912.10","923.95","31,94,761","2,95,18,12,953.85","68,042","10,19,296","31.91"
"ADANIGREEN","EQ","27-Mar-2025","912.10","910.00","966.60","905.20","958.00","959.90","941.65","59,18,219","5,57,28,64,238.75","1,14,942","17,22,198","29.10"
"ADANIGREEN","EQ","28-Mar-2025","959.90","967.85","976.45","942.05","948.00","948.65","959.80","40,83,088","3,91,89,31,528.25","90,367","7,87,418","19.28"
"ADANIGREEN","EQ","01-Apr-2025","948.65","948.00","962.00","916.65","923.00","919.15","932.82","33,93,666","3,16,56,67,424.40","75,539","10,56,794","31.14"
"BAJAJELEC","EQ","25-Mar-2025","609.50","617.00","619.40","585.00","589.75","586.80","592.87","89,632","5,31,40,519.30","12,152","45,063","50.28"
"BAJAJELEC","EQ","26-Mar-2025","586.80","589.30","592.40","576.00","577.85","580.10","582.95","34,964","2,03,82,090.45","4,486","14,846","42.46"
"BAJAJELEC","EQ","27-Mar-2025","580.10","580.05","580.05","537.15","560.00","548.25","549.76","3,45,535","18,99,62,886.50","29,224","1,56,207","45.21"
"BAJAJELEC","EQ","28-Mar-2025","548.25","555.75","570.75","539.50","540.00","544.00","552.87","1,14,996","6,35,77,378.15","11,344","47,928","41.68"
"BAJAJELEC","EQ","01-Apr-2025","544.00","544.00","555.00","538.05","545.20","547.70","547.84","63,460","3,47,66,041.55","7,547","18,777","29.59"
"COFORGE","EQ","25-Mar-2025","7,769.55","7,870.00","8,082.50","7,810.00","7,945.00","7,958.20","7,966.73","9,08,179","7,23,52,13,874.15","1,22,438","2,71,918","29.94"
"COFORGE","EQ","26-Mar-2025","7,958.20","7,992.35","8,125.50","7,958.20","8,016.25","8,027.20","8,047.29","6,61,963","5,32,70,07,367.85","79,566","2,87,690","43.46"
"COFORGE","EQ","27-Mar-2025","8,027.20","7,935.00","8,165.00","7,935.00","8,119.35","8,107.60","8,067.26","5,42,683","4,37,79,62,483.85","73,111","2,27,277","41.88"
"COFORGE","EQ","28-Mar-2025","8,107.60","8,172.45","8,250.00","8,024.50","8,069.95","8,109.20","8,152.56","5,03,633","4,10,58,98,363.40","61,113","2,42,092","48.07"
"COFORGE","EQ","01-Apr-2025","8,109.20","8,069.95","8,069.95","7,760.00","7,770.00","7,780.80","7,890.52","4,44,267","3,50,54,95,554.40","67,768","2,26,427","50.97"
"DCBBANK","EQ","25-Mar-2025","115.79","116.00","116.80","113.01","113.27","113.23","114.42","11,65,819","13,33,95,626.02","14,990","6,32,950","54.29"
"DCBBANK","EQ","26-Mar-2025","113.23","113.51","115.01","111.00","111.25","111.29","113.19","21,06,181","23,83,94,011.92","17,360","13,56,046","64.38"
"DCBBANK","EQ","27-Mar-2025","111.29","112.00","115.20","111.56","114.65","114.50","113.96","15,72,640","17,92,19,651.93","28,469","9,56,514","60.82"
"DCBBANK","EQ","28-Mar-2025","114.50","114.28","115.72","111.60","111.80","112.01","113.55","14,26,925","16,20,20,839.70","18,713","8,88,957","62.30"
"DCBBANK","EQ","01-Apr-2025","112.01","112.01","115.75","112.01","114.00","113.94","114.20","8,24,325","9,41,40,165.79","10,717","4,04,570","49.08"
