"Index Name","Date","Open","High","Low","Close"
"NIFTY 50","02 Apr 2025","23192.6","23350","23158.45","23332.35"
"NIFTY 50","01 Apr 2025","23341.1","23565.15","23136.4","23165.70"
"NIFTY 50","28 Mar 2025","23600.4","23649.2","23450.2","23519.35"
"NIFTY 50","27 Mar 2025","23433.95","23646.45","23412.2","23591.95"
"NIFTY 50","26 Mar 2025","23700.95","23736.5","23451.7","23486.85"
"NIFTY 50","25 Mar 2025","23751.5","23869.6","23601.4","23668.65"
"NIFTY 50","24 Mar 2025","23515.4","23708.75","23433.5","23658.35"
"NIFTY 100","02 Apr 2025","23742.75","23919.6","23683.9","23901.85"
"NIFTY 100","01 Apr 2025","23902.3","24110.6","23684.3","23713.80"
"NIFTY 100","28 Mar 2025","24154.15","24220.75","23992.8","24057.35"
"NIFTY 100","27 Mar 2025","23934.9","24194.75","23919.4","24145.05"
"NIFTY 100","26 Mar 2025","24188.3","24246","23958.95","23990.40"
"NIFTY 100","25 Mar 2025","24326","24409.75","24097.15","24159.90"
"NIFTY 100","24 Mar 2025","24075.9","24266.95","23989.8","24214.20"
"NIFTY BANK","02 Apr 2025","50966.9","51404.2","50908.35","51348.05"
"NIFTY BANK","01 Apr 2025","51178.15","51683.85","50742","50827.50"
"NIFTY BANK","28 Mar 2025","51608.4","51839.1","51335.35","51564.85"
"NIFTY BANK","27 Mar 2025","51084.7","51714.35","51050.85","51575.85"
"NIFTY BANK","26 Mar 2025","51640.05","51875.8","51069.15","51209.00"
"NIFTY BANK","25 Mar 2025","51874.2","52063.95","51429.6","51607.95"
"NIFTY BANK","24 Mar 2025","50982.7","51801.15","50795.9","51704.95"
